COGs	BG1	BG2	BG3	BP1	BP2	BP3	BS1	BS2	BS3	RG1	RG2	RG3	RP1	RP2	RP3	RS1	RS2	RS3
COG2900	19.0	4.9	3.6	5.9	3.1	7.8	21.4	40.1	1.0	4.0	0	1.0	19.2	8.5	13.9	1.8	4.3	2.3
COG2901	14.1	3.0	17.1	5.1	2.7	8.1	14.4	28.5	3.7	1.0	1.0	0	15.3	15.9	17.2	1.0	8.4	1.0
COG2902	127.3	5.6	25.5	39.0	40.5	185.9	52.8	86.2	12.5	8.7	7.2	6.7	124.4	102.4	133.1	20.9	30.2	31.4
COG2905	159.6	9.7	48.8	23.1	40.2	72.9	124.7	139.1	15.8	3.2	1.9	1.8	144.9	128.9	125.9	3.2	8.2	9.0
COG2906	0	0	11.2	8.0	11.5	18.4	44.0	72.0	4.7	0	0	1.0	7.8	10.8	7.4	1.0	4.7	1.0
COG2907	2.1	6.2	40.2	10.3	21.3	5.5	62.4	59.6	10.2	7.3	4.5	4.3	64.2	51.1	66.5	24.5	24.0	25.1
COG2908	85.0	42.5	20.8	162.7	149.5	133.0	65.6	113.3	29.3	1.5	1.0	1.5	36.6	33.0	40.0	2.4	6.6	3.7
COG2909	408.9	15.7	103.7	52.8	88.5	167.8	319.7	211.7	9.3	2.7	1.7	2.1	165.2	132.6	186.3	9.0	13.3	12.8
COG2910	5.0	49.9	8.3	14.4	11.6	54.1	69.2	174.9	6.6	1.3	0	0	39.6	31.5	38.7	5.3	5.6	4.4
COG2911	242.8	18.1	32.8	62.2	26.1	120.5	284.8	111.5	24.9	1.8	3.0	2.7	139.8	129.4	160.2	3.6	10.7	7.8
COG2912	94.0	1.3	33.0	8.6	45.2	14.6	104.8	206.0	9.6	1.0	1.0	3.9	58.1	33.9	61.0	8.6	10.1	12.4
COG2913	45.6	3.5	13.0	19.3	12.4	62.2	26.6	76.3	4.8	1.0	2.0	1.3	29.3	21.6	21.2	4.1	5.5	2.7
COG2914	12.5	8.6	8.3	14.3	8.1	32.8	22.1	77.0	6.4	0	1.0	1.0	16.5	10.1	10.2	8.1	5.9	4.8
COG2915	12.2	3.5	16.6	13.6	6.7	60.7	38.8	197.5	4.6	0	1.0	2.5	41.0	21.0	35.1	14.8	13.3	9.9
COG2916	42.1	36.2	26.7	318.6	314.2	155.6	34.1	3.2	117.7	1.6	2.1	1.5	36.1	21.1	35.1	2.7	6.9	2.6
COG2917	58.2	71.0	19.9	17.1	19.1	25.3	80.1	179.9	3.4	0	1.0	1.0	35.5	25.0	32.4	3.8	3.5	2.9
COG2918	254.3	30.1	53.2	54.2	51.2	175.4	123.6	142.3	14.8	3.3	2.3	2.5	114.4	96.2	113.9	12.6	20.8	12.5
