Genus_id	Kingdom	Phylum	Class	Order	Family	Genus
NOG14461	Bacteria	Proteobacteria	R	R	R	R
NOG144721	Bacteria	Proteobacteria	S	S	S	S
NOG144843	Bacteria	Proteobacteria	S	S	S	S
NOG144881	Bacteria	Proteobacteria	S	S	S	S
NOG144921	Bacteria	Proteobacteria	S	S	S	S
NOG144923	Bacteria	Proteobacteria	S	S	S	S
NOG144933	Bacteria	Proteobacteria	S	S	S	S
NOG144983	Bacteria	Proteobacteria	R	R	R	R
NOG14501	Bacteria	Proteobacteria	S	S	S	S
NOG145064	Bacteria	Proteobacteria	S	S	S	S
NOG145073	Bacteria	Proteobacteria	S	S	S	S
NOG14516	Bacteria	Proteobacteria	S	S	S	S
NOG145191	Bacteria	Proteobacteria	R	R	R	R
NOG145199	Bacteria	Proteobacteria	K	K	K	K
NOG145217	Bacteria	Proteobacteria	S	S	S	S
NOG145220	Bacteria	Proteobacteria	S	S	S	S
NOG14529	Bacteria	Proteobacteria	C	C	C	C
NOG14532	Bacteria	Proteobacteria	I	I	I	I
NOG145346	Bacteria	Proteobacteria	S	S	S	S
NOG145352	Bacteria	Proteobacteria	S	S	S	S
NOG145360	Bacteria	Proteobacteria	K	K	K	K
NOG145380	Bacteria	Proteobacteria	R	R	R	R
NOG145407	Bacteria	Proteobacteria	S	S	S	S
NOG145429	Bacteria	Proteobacteria	S	S	S	S
NOG145456	Bacteria	Proteobacteria	O	O	O	O
NOG145460	Bacteria	Proteobacteria	S	S	S	S
NOG145533	Bacteria	Proteobacteria	S	S	S	S
NOG14557	Bacteria	Proteobacteria	P	P	P	P
NOG145570	Bacteria	Proteobacteria	S	S	S	S
NOG145610	Bacteria	Proteobacteria	S	S	S	S
NOG145676	Bacteria	Proteobacteria	S	S	S	S
NOG145692	Bacteria	Proteobacteria	S	S	S	S
NOG14570	Bacteria	Proteobacteria	S	S	S	S
NOG145756	Bacteria	Proteobacteria	R	R	R	R
NOG145758	Bacteria	Proteobacteria	S	S	S	S
NOG145773	Bacteria	Proteobacteria	R	R	R	R
NOG145810	Bacteria	Proteobacteria	S	S	S	S
NOG145896	Bacteria	Proteobacteria	S	S	S	S
NOG145978	Bacteria	Proteobacteria	S	S	S	S
NOG145986	Bacteria	Proteobacteria	O	O	O	O
NOG146072	Bacteria	Proteobacteria	O	O	O	O
NOG146200	Bacteria	Proteobacteria	E	E	E	E
NOG146230	Bacteria	Proteobacteria	S	S	S	S
NOG146260	Bacteria	Proteobacteria	R	R	R	R
NOG146325	Bacteria	Proteobacteria	S	S	S	S
NOG146352	Bacteria	Proteobacteria	T	T	T	T
NOG146402	Bacteria	Proteobacteria	S	S	S	S
NOG14642	Bacteria	Proteobacteria	S	S	S	S
NOG146426	Bacteria	Proteobacteria	S	S	S	S
NOG146458	Bacteria	Proteobacteria	S	S	S	S
NOG146511	Bacteria	Proteobacteria	R	R	R	R
NOG146529	Bacteria	Proteobacteria	S	S	S	S
NOG146536	Bacteria	Proteobacteria	S	S	S	S
NOG146569	Bacteria	Proteobacteria	S	S	S	S
NOG146575	Bacteria	Proteobacteria	S	S	S	S
NOG146625	Bacteria	Proteobacteria	S	S	S	S
NOG146682	Bacteria	Proteobacteria	S	S	S	S
NOG146697	Bacteria	Proteobacteria	L	L	L	L
NOG146866	Bacteria	Proteobacteria	S	S	S	S
NOG146974	Bacteria	Proteobacteria	S	S	S	S
NOG147008	Bacteria	Proteobacteria	S	S	S	S
NOG147061	Bacteria	Proteobacteria	S	S	S	S
NOG147114	Bacteria	Proteobacteria	S	S	S	S
NOG147220	Bacteria	Proteobacteria	S	S	S	S
NOG147256	Bacteria	Proteobacteria	S	S	S	S
NOG147324	Bacteria	Proteobacteria	S	S	S	S
NOG14739	Bacteria	Proteobacteria	S	S	S	S
NOG147424	Bacteria	Proteobacteria	R	R	R	R
NOG14743	Bacteria	Proteobacteria	C	C	C	C
NOG147552	Bacteria	Proteobacteria	S	S	S	S
NOG147600	Bacteria	Proteobacteria	S	S	S	S
NOG147648	Bacteria	Proteobacteria	S	S	S	S
NOG147693	Bacteria	Proteobacteria	S	S	S	S
NOG147704	Bacteria	Proteobacteria	S	S	S	S
NOG147757	Bacteria	Proteobacteria	S	S	S	S
NOG14776	Bacteria	Proteobacteria	P	P	P	P
NOG147798	Bacteria	Proteobacteria	S	S	S	S
NOG147842	Bacteria	Proteobacteria	S	S	S	S
NOG147903	Bacteria	Proteobacteria	S	S	S	S
NOG14793	Bacteria	Proteobacteria	S	S	S	S
NOG147935	Bacteria	Proteobacteria	S	S	S	S
NOG14800	Bacteria	Proteobacteria	S	S	S	S
NOG148037	Bacteria	Proteobacteria	S	S	S	S
NOG148166	Bacteria	Proteobacteria	S	S	S	S
NOG148169	Bacteria	Proteobacteria	S	S	S	S
NOG148258	Bacteria	Proteobacteria	S	S	S	S
NOG148262	Bacteria	Proteobacteria	S	S	S	S
NOG148319	Bacteria	Proteobacteria	S	S	S	S
NOG148351	Bacteria	Proteobacteria	S	S	S	S
NOG14838	Bacteria	Proteobacteria	S	S	S	S
NOG148403	Bacteria	Proteobacteria	S	S	S	S
NOG148408	Bacteria	Proteobacteria	L	L	L	L
NOG14848	Bacteria	Proteobacteria	S	S	S	S
NOG14856	Bacteria	Proteobacteria	P	P	P	P
NOG14857	Bacteria	Proteobacteria	S	S	S	S
NOG148579	Bacteria	Proteobacteria	S	S	S	S
NOG14864	Bacteria	Proteobacteria	R	R	R	R
NOG148654	Bacteria	Proteobacteria	S	S	S	S
NOG148762	Bacteria	Proteobacteria	S	S	S	S
NOG148767	Bacteria	Proteobacteria	S	S	S	S
NOG148802	Bacteria	Proteobacteria	S	S	S	S
NOG148915	Bacteria	Proteobacteria	S	S	S	S
NOG149023	Bacteria	Proteobacteria	O	O	O	O
NOG149034	Bacteria	Proteobacteria	R	R	R	R
NOG149107	Bacteria	Proteobacteria	S	S	S	S
NOG149157	Bacteria	Proteobacteria	S	S	S	S
NOG149214	Bacteria	Proteobacteria	S	S	S	S
NOG149231	Bacteria	Proteobacteria	S	S	S	S
NOG149234	Bacteria	Proteobacteria	S	S	S	S
NOG149288	Bacteria	Proteobacteria	S	S	S	S
NOG14930	Bacteria	Proteobacteria	S	S	S	S
NOG149381	Bacteria	Proteobacteria	S	S	S	S
NOG149389	Bacteria	Proteobacteria	S	S	S	S
NOG149458	Bacteria	Proteobacteria	S	S	S	S
NOG14951	Bacteria	Proteobacteria	K	K	K	K
NOG149525	Bacteria	Proteobacteria	R	R	R	R
NOG149551	Bacteria	Proteobacteria	S	S	S	S
NOG149698	Bacteria	Proteobacteria	R	R	R	R
NOG14984	Bacteria	Proteobacteria	C	C	C	C
NOG149868	Bacteria	Proteobacteria	S	S	S	S
NOG149870	Bacteria	Proteobacteria	S	S	S	S
NOG149889	Bacteria	Proteobacteria	S	S	S	S
NOG149938	Bacteria	Proteobacteria	S	S	S	S
NOG149980	Bacteria	Proteobacteria	S	S	S	S
NOG150010	Bacteria	Proteobacteria	S	S	S	S
NOG150022	Bacteria	Proteobacteria	S	S	S	S
NOG150027	Bacteria	Proteobacteria	S	S	S	S
NOG150124	Bacteria	Proteobacteria	T	T	T	T
NOG150187	Bacteria	Proteobacteria	R	R	R	R
NOG150212	Bacteria	Proteobacteria	S	S	S	S
NOG150239	Bacteria	Proteobacteria	S	S	S	S
NOG150301	Bacteria	Proteobacteria	S	S	S	S
NOG150329	Bacteria	Proteobacteria	S	S	S	S
NOG150495	Bacteria	Proteobacteria	S	S	S	S
NOG150531	Bacteria	Proteobacteria	S	S	S	S
NOG150614	Bacteria	Proteobacteria	S	S	S	S
NOG15065	Bacteria	Proteobacteria	S	S	S	S
NOG150730	Bacteria	Proteobacteria	S	S	S	S
NOG150777	Bacteria	Proteobacteria	S	S	S	S
NOG15088	Bacteria	Proteobacteria	S	S	S	S
NOG15104	Bacteria	Proteobacteria	S	S	S	S
NOG151192	Bacteria	Proteobacteria	S	S	S	S
NOG15120	Bacteria	Proteobacteria	K	K	K	K
NOG151282	Bacteria	Proteobacteria	S	S	S	S
NOG151324	Bacteria	Proteobacteria	S	S	S	S
NOG151374	Bacteria	Proteobacteria	R	R	R	R
NOG151494	Bacteria	Proteobacteria	S	S	S	S
NOG151513	Bacteria	Proteobacteria	S	S	S	S
NOG151595	Bacteria	Proteobacteria	C	C	C	C
NOG151611	Bacteria	Proteobacteria	S	S	S	S
NOG151632	Bacteria	Proteobacteria	P	P	P	P
NOG151683	Bacteria	Proteobacteria	S	S	S	S
NOG151710	Bacteria	Proteobacteria	S	S	S	S
NOG151792	Bacteria	Proteobacteria	S	S	S	S
NOG151867	Bacteria	Proteobacteria	S	S	S	S
NOG151932	Bacteria	Proteobacteria	S	S	S	S
NOG152097	Bacteria	Proteobacteria	S	S	S	S
NOG152100	Bacteria	Proteobacteria	S	S	S	S
NOG152112	Bacteria	Proteobacteria	K	K	K	K
NOG152217	Bacteria	Proteobacteria	O	O	O	O
NOG152383	Bacteria	Proteobacteria	S	S	S	S
NOG15255	Bacteria	Proteobacteria	K	K	K	K
NOG152569	Bacteria	Proteobacteria	S	S	S	S
NOG152608	Bacteria	Proteobacteria	S	S	S	S
NOG152880	Bacteria	Proteobacteria	S	S	S	S
NOG153123	Bacteria	Proteobacteria	S	S	S	S
NOG153130	Bacteria	Proteobacteria	S	S	S	S
NOG153195	Bacteria	Proteobacteria	S	S	S	S
NOG153196	Bacteria	Proteobacteria	R	R	R	R
NOG153266	Bacteria	Proteobacteria	U	U	U	U
NOG153295	Bacteria	Proteobacteria	S	S	S	S
NOG153375	Bacteria	Proteobacteria	S	S	S	S
NOG153388	Bacteria	Proteobacteria	S	S	S	S
NOG153406	Bacteria	Proteobacteria	S	S	S	S
NOG153438	Bacteria	Proteobacteria	R	R	R	R
NOG153501	Bacteria	Proteobacteria	S	S	S	S
NOG153675	Bacteria	Proteobacteria	S	S	S	S
NOG153676	Bacteria	Proteobacteria	S	S	S	S
NOG153762	Bacteria	Proteobacteria	S	S	S	S
NOG153776	Bacteria	Proteobacteria	S	S	S	S
NOG153912	Bacteria	Proteobacteria	S	S	S	S
NOG153942	Bacteria	Proteobacteria	S	S	S	S
NOG154051	Bacteria	Proteobacteria	S	S	S	S
NOG154084	Bacteria	Proteobacteria	S	S	S	S
NOG15412	Bacteria	Proteobacteria	S	S	S	S
NOG154128	Bacteria	Proteobacteria	S	S	S	S
NOG15417	Bacteria	Proteobacteria	M	M	M	M
