x;Kingdom;Phylum;Class;Order;Family;Genus
ASV0969;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;NA
ASV0970;Bacteria;Firmicutes;Bacilli;Bacillales;NA;NA
ASV0971;Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae_1;Paenibacillus
ASV0972;Bacteria;Firmicutes;Bacilli;Lactobacillales;NA;NA
ASV0973;Bacteria;NA;NA;NA;NA;NA
ASV0974;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;NA;NA
ASV0975;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas
ASV0976;Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus
ASV0977;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Morococcus
ASV0978;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Chryseobacterium
ASV0979;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas
ASV0980;Bacteria;Cyanobacteria/Chloroplast;Cyanobacteria;NA;NA;NA
ASV0981;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Sanguibacteraceae;Sanguibacter
ASV0982;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter
ASV0983;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium
ASV0984;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;NA
ASV0985;Bacteria;NA;NA;NA;NA;NA
ASV0986;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
ASV0987;Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Nibribacter
ASV0988;Bacteria;Cyanobacteria/Chloroplast;Cyanobacteria;NA;NA;NA
ASV0989;Bacteria;NA;NA;NA;NA;NA
ASV0990;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium
ASV0991;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Mycobacteriaceae;Mycobacterium
ASV0992;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Aurantimonadaceae;Aureimonas
ASV0993;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium
